Player,Number,Position,Game,Goals,Shots,Assists,GBs,CTO,Draws,TOs,YC,GC
Becca,15,M,CSU,0,0,0,1,1,0,0,0,0
Brooklyn,5,A,CSU,0,1,0,0,1,0,0,0,0
Devinne,11,D,CSU,0,0,0,0,0,0,1,0,0
Haley,9,A,CSU,0,0,1,0,0,0,0,0,0
Heather,12,M,CSU,2,2,0,8,2,3,1,1,0
Julia,27,D,CSU,0,0,0,0,0,0,1,0,0
Kallie,13,M,CSU,1,1,0,0,0,0,0,0,0
Katie,6,M,CSU,0,0,0,0,0,0,0,0,0
Kenedee,14,M,CSU,1,1,1,1,0,0,2,0,0
Kenna,25,A,CSU,0,0,0,1,0,0,0,0,0
Kim,19,D,CSU,0,0,0,1,0,0,0,0,0
Lauren,8,M,CSU,1,1,0,1,0,1,1,0,0
Logan,20,M,CSU,0,1,0,0,0,1,1,0,0
Maysen,22,M,CSU,0,0,0,0,0,0,0,0,0
Natalie,1,M,CSU,1,5,0,1,0,0,1,1,1
Rachel,26,A,CSU,0,0,0,0,0,0,0,0,0
Raegan,24,A,CSU,0,0,0,0,0,0,0,0,0
Roni,4,D,CSU,0,0,0,0,0,0,0,0,0
Sarah,10,A,CSU,0,0,0,0,0,0,1,0,0
Shannon,23,A,CSU,1,2,0,2,0,0,3,1,0
Taylor,2,D,CSU,0,0,0,1,2,0,0,0,0
Tess,3,M,CSU,2,3,0,5,1,4,0,0,0
Becca,15,M,Texas,0,0,0,1,0,0,1,0,0
Brooklyn,5,A,Texas,0,2,0,2,0,0,3,0,0
Devinne,11,D,Texas,0,0,0,0,1,0,1,0,0
Haley,9,A,Texas,1,3,1,0,1,0,1,0,0
Heather,12,M,Texas,1,3,0,1,1,1,0,2,0
Julia,27,D,Texas,0,0,0,0,0,0,0,0,0
Kallie,13,M,Texas,1,1,0,1,1,0,1,0,0
Katie,6,M,Texas,0,1,0,0,1,0,0,0,0
Kenedee,14,M,Texas,0,0,0,1,0,1,0,1,0
Kenna,25,A,Texas,0,0,0,0,0,0,1,0,0
Kim,19,D,Texas,0,0,0,1,0,0,1,1,0
Lauren,8,M,Texas,2,3,0,3,0,0,1,1,0
Logan,20,M,Texas,1,0,0,2,1,2,1,0,0
Maysen,22,M,Texas,0,0,0,0,1,0,0,0,0
Natalie,1,M,Texas,3,4,1,1,3,3,0,1,0
Rachel,26,A,Texas,0,0,0,0,0,0,0,0,0
Raegan,24,A,Texas,0,0,0,0,0,0,0,0,0
Roni,4,D,Texas,0,0,0,1,0,0,0,0,0
Sarah,10,A,Texas,0,1,2,1,0,1,0,0,0
Shannon,23,A,Texas,2,2,0,0,0,0,1,2,0
Taylor,2,D,Texas,0,0,0,1,3,0,0,0,0
Tess,3,M,Texas,1,4,1,3,5,0,2,0,0
Becca,15,M,CU,0,0,0,1,0,0,1,0,0
Brooklyn,5,A,CU,0,1,0,1,0,0,0,0,0
Devinne,11,D,CU,0,0,0,0,2,0,0,0,0
Haley,9,A,CU,1,1,0,0,1,0,1,0,0
Heather,12,M,CU,2,4,1,2,2,1,1,0,0
Julia,27,D,CU,0,0,0,0,0,0,0,0,0
Kallie,13,M,CU,2,5,0,3,0,2,0,0,0
Katie,6,M,CU,0,0,1,0,0,0,0,0,0
Kenedee,14,M,CU,0,1,0,3,1,0,2,0,0
Kenna,25,A,CU,1,1,0,0,0,0,1,0,0
Kim,19,D,CU,0,0,0,1,1,0,1,0,0
Lauren,8,M,CU,0,2,0,0,0,2,1,0,0
Logan,20,M,CU,1,1,0,0,0,1,0,0,0
Maysen,22,M,CU,0,0,0,0,0,0,1,0,0
Natalie,1,M,CU,1,6,0,3,2,1,1,0,0
Rachel,26,A,CU,0,0,0,0,0,0,2,0,0
Raegan,24,A,CU,0,0,0,0,0,0,0,0,0
Roni,4,D,CU,0,0,0,1,0,0,0,0,0
Sarah,10,A,CU,0,0,0,0,0,0,0,0,0
Shannon,23,A,CU,1,2,0,1,0,0,2,1,0
Taylor,2,D,CU,0,0,0,0,1,0,0,0,0
Tess,3,M,CU,2,3,0,3,3,1,1,0,0
Becca,15,M,VT,0,0,0,1,0,0,1,0,0
Brooklyn,5,A,VT,0,0,0,1,0,0,4,0,0
Devinne,11,D,VT,0,0,0,2,2,0,0,0,0
Haley,9,A,VT,0,1,0,0,2,0,1,0,0
Heather,12,M,VT,4,10,0,1,3,4,1,1,0
Julia,27,D,VT,0,0,0,0,0,0,0,0,0
Kallie,13,M,VT,1,1,0,0,1,0,0,0,0
Katie,6,M,VT,0,0,0,0,0,0,0,0,0
Kenedee,14,M,VT,0,1,1,0,0,0,1,0,0
Kenna,25,A,VT,0,0,0,0,0,0,0,0,0
Kim,19,D,VT,0,0,0,0,1,0,0,0,0
Lauren,8,M,VT,0,0,0,0,2,1,0,0,0
Logan,20,M,VT,1,1,0,1,1,1,4,0,0
Maysen,22,M,VT,0,0,0,1,0,0,0,0,0
Natalie,1,M,VT,1,4,0,1,0,4,2,1,0
Rachel,26,A,VT,0,0,0,0,0,0,0,0,0
Raegan,24,A,VT,0,0,0,0,0,0,0,0,0
Roni,4,D,VT,0,0,0,0,0,0,0,0,0
Sarah,10,A,VT,0,0,0,2,1,0,0,0,0
Shannon,23,A,VT,3,5,0,1,1,0,1,0,0
Taylor,2,D,VT,0,0,0,2,0,0,0,0,0
Tess,3,M,VT,1,2,0,3,3,2,0,0,0
Becca,15,M,Utah,0,0,0,1,0,0,2,0,0
Brooklyn,5,A,Utah,0,0,0,1,0,0,0,0,0
Devinne,11,D,Utah,0,0,0,0,0,0,0,0,0
Haley,9,A,Utah,1,1,0,0,0,0,0,0,0
Heather,12,M,Utah,2,5,0,2,0,1,2,1,0
Julia,27,D,Utah,0,0,0,0,0,0,0,0,0
Kallie,13,M,Utah,0,0,0,1,0,0,1,0,0
Katie,6,M,Utah,0,0,0,0,0,0,0,0,0
Kenedee,14,M,Utah,0,0,0,4,0,0,2,0,0
Kenna,25,A,Utah,0,0,0,0,0,0,0,0,0
Kim,19,D,Utah,0,0,0,0,0,1,0,0,0
Lauren,8,M,Utah,0,0,1,1,0,2,1,0,0
Logan,20,M,Utah,1,2,0,1,0,1,3,0,0
Maysen,22,M,Utah,0,0,0,0,0,1,1,0,0
Natalie,1,M,Utah,3,5,0,2,0,2,1,0,1
Rachel,26,A,Utah,0,0,0,0,0,0,0,0,0
Raegan,24,A,Utah,0,0,0,0,0,0,0,0,0
Roni,4,D,Utah,0,0,0,2,1,0,0,0,0
Sarah,10,A,Utah,0,0,0,0,0,0,0,0,0
Shannon,23,A,Utah,1,5,0,0,0,0,0,0,0
Taylor,2,D,Utah,0,0,0,2,0,0,0,0,0
Tess,3,M,Utah,2,3,0,1,1,0,1,0,0
Becca,15,M,UVU,1,4,0,4,3,0,1,0,0
Brooklyn,5,A,UVU,1,3,1,1,0,0,0,0,0
